STATE,COUNTY,FIPS,State,County,Pop2010,Pop2019
1,1,1001,Alabama,Autauga County,54571,55869
1,3,1003,Alabama,Baldwin County,182265,223234
1,5,1005,Alabama,Barbour County,27457,24686
1,7,1007,Alabama,Bibb County,22915,22394
1,9,1009,Alabama,Blount County,57322,57826
1,11,1011,Alabama,Bullock County,10914,10101
1,13,1013,Alabama,Butler County,20947,19448
1,15,1015,Alabama,Calhoun County,118572,113605
1,17,1017,Alabama,Chambers County,34215,33254
1,19,1019,Alabama,Cherokee County,25989,26196
1,21,1021,Alabama,Chilton County,43643,44428
1,23,1023,Alabama,Choctaw County,13859,12589
1,25,1025,Alabama,Clarke County,25833,23622
1,27,1027,Alabama,Clay County,13932,13235
1,29,1029,Alabama,Cleburne County,14972,14910
1,31,1031,Alabama,Coffee County,49948,52342
1,33,1033,Alabama,Colbert County,54428,55241
1,35,1035,Alabama,Conecuh County,13228,12067
1,37,1037,Alabama,Coosa County,11539,10663
1,39,1039,Alabama,Covington County,37765,37049
1,41,1041,Alabama,Crenshaw County,13906,13772
1,43,1043,Alabama,Cullman County,80406,83768
1,45,1045,Alabama,Dale County,50251,49172
1,47,1047,Alabama,Dallas County,43820,37196
1,49,1049,Alabama,DeKalb County,71109,71513
1,51,1051,Alabama,Elmore County,79303,81209
1,53,1053,Alabama,Escambia County,38319,36633
1,55,1055,Alabama,Etowah County,104430,102268
1,57,1057,Alabama,Fayette County,17241,16302
1,59,1059,Alabama,Franklin County,31704,31362
1,61,1061,Alabama,Geneva County,26790,26271
1,63,1063,Alabama,Greene County,9045,8111
1,65,1065,Alabama,Hale County,15760,14651
1,67,1067,Alabama,Henry County,17302,17205
1,69,1069,Alabama,Houston County,101547,105882
1,71,1071,Alabama,Jackson County,53227,51626
1,73,1073,Alabama,Jefferson County,658466,658573
1,75,1075,Alabama,Lamar County,14564,13805
1,77,1077,Alabama,Lauderdale County,92709,92729
1,79,1079,Alabama,Lawrence County,34339,32924
1,81,1081,Alabama,Lee County,140247,164542
1,83,1083,Alabama,Limestone County,82782,98915
1,85,1085,Alabama,Lowndes County,11299,9726
1,87,1087,Alabama,Macon County,21452,18068
1,89,1089,Alabama,Madison County,334811,372909
1,91,1091,Alabama,Marengo County,21027,18863
1,93,1093,Alabama,Marion County,30776,29709
1,95,1095,Alabama,Marshall County,93019,96774
1,97,1097,Alabama,Mobile County,412992,413210
1,99,1099,Alabama,Monroe County,23068,20733
1,101,1101,Alabama,Montgomery County,229363,226486
1,103,1103,Alabama,Morgan County,119490,119679
1,105,1105,Alabama,Perry County,10591,8923
1,107,1107,Alabama,Pickens County,19746,19930
1,109,1109,Alabama,Pike County,32899,33114
1,111,1111,Alabama,Randolph County,22913,22722
1,113,1113,Alabama,Russell County,52947,57961
1,115,1115,Alabama,St. Clair County,83593,89512
1,117,1117,Alabama,Shelby County,195085,217702
1,119,1119,Alabama,Sumter County,13763,12427
1,121,1121,Alabama,Talladega County,82291,79978
1,123,1123,Alabama,Tallapoosa County,41616,40367
1,125,1125,Alabama,Tuscaloosa County,194656,209355
1,127,1127,Alabama,Walker County,67023,63521
1,129,1129,Alabama,Washington County,17581,16326
1,131,1131,Alabama,Wilcox County,11670,10373
1,133,1133,Alabama,Winston County,24484,23629
2,13,2013,Alaska,Aleutians East Borough,3141,3337
2,16,2016,Alaska,Aleutians West Census Area,5561,5634
2,20,2020,Alaska,Anchorage Municipality,291826,288000
2,50,2050,Alaska,Bethel Census Area,17013,18386
2,60,2060,Alaska,Bristol Bay Borough,997,836
2,68,2068,Alaska,Denali Borough,1826,2097
2,70,2070,Alaska,Dillingham Census Area,4847,4916
2,90,2090,Alaska,Fairbanks North Star Borough,97581,96849
2,100,2100,Alaska,Haines Borough,2508,2530
2,105,2105,Alaska,Hoonah-Angoon Census Area,2150,2148
2,110,2110,Alaska,Juneau City and Borough,31275,31974
2,122,2122,Alaska,Kenai Peninsula Borough,55400,58708
2,130,2130,Alaska,Ketchikan Gateway Borough,13477,13901
2,150,2150,Alaska,Kodiak Island Borough,13592,12998
2,158,2158,Alaska,Kusilvak Census Area,7459,8314
2,164,2164,Alaska,Lake and Peninsula Borough,1631,1592
2,170,2170,Alaska,Matanuska-Susitna Borough,88995,108317
2,180,2180,Alaska,Nome Census Area,9492,10004
2,185,2185,Alaska,North Slope Borough,9430,9832
2,188,2188,Alaska,Northwest Arctic Borough,7523,7621
2,195,2195,Alaska,Petersburg Borough,3815,3266
2,198,2198,Alaska,Prince of Wales-Hyder Census Area,5559,6203
2,220,2220,Alaska,Sitka City and Borough,8881,8493
2,230,2230,Alaska,Skagway Municipality,968,1183
2,240,2240,Alaska,Southeast Fairbanks Census Area,7029,6893
2,261,2261,Alaska,Valdez-Cordova Census Area,9636,9202
2,275,2275,Alaska,Wrangell City and Borough,2369,2502
2,282,2282,Alaska,Yakutat City and Borough,662,579
2,290,2290,Alaska,Yukon-Koyukuk Census Area,5588,5230
4,1,4001,Arizona,Apache County,71518,71887
4,3,4003,Arizona,Cochise County,131346,125922
4,5,4005,Arizona,Coconino County,134421,143476
4,7,4007,Arizona,Gila County,53597,54018
4,9,4009,Arizona,Graham County,37220,38837
4,11,4011,Arizona,Greenlee County,8437,9498
4,12,4012,Arizona,La Paz County,20489,21108
4,13,4013,Arizona,Maricopa County,3817117,4485414
4,15,4015,Arizona,Mohave County,200186,212181
4,17,4017,Arizona,Navajo County,107449,110924
4,19,4019,Arizona,Pima County,980263,1047279
4,21,4021,Arizona,Pinal County,375770,462789
4,23,4023,Arizona,Santa Cruz County,47420,46498
4,25,4025,Arizona,Yavapai County,211033,235099
4,27,4027,Arizona,Yuma County,195751,213787
5,1,5001,Arkansas,Arkansas County,19019,17486
5,3,5003,Arkansas,Ashley County,21853,19657
5,5,5005,Arkansas,Baxter County,41513,41932
5,7,5007,Arkansas,Benton County,221339,279141
5,9,5009,Arkansas,Boone County,36903,37432
5,11,5011,Arkansas,Bradley County,11508,10763
5,13,5013,Arkansas,Calhoun County,5368,5189
5,15,5015,Arkansas,Carroll County,27446,28380
5,17,5017,Arkansas,Chicot County,11800,10118
5,19,5019,Arkansas,Clark County,22995,22320
5,21,5021,Arkansas,Clay County,16083,14551
5,23,5023,Arkansas,Cleburne County,25970,24919
5,25,5025,Arkansas,Cleveland County,8689,7956
5,27,5027,Arkansas,Columbia County,24552,23457
5,29,5029,Arkansas,Conway County,21273,20846
5,31,5031,Arkansas,Craighead County,96443,110332
5,33,5033,Arkansas,Crawford County,61948,63257
5,35,5035,Arkansas,Crittenden County,50902,47955
5,37,5037,Arkansas,Cross County,17870,16419
5,39,5039,Arkansas,Dallas County,8116,7009
5,41,5041,Arkansas,Desha County,13008,11361
5,43,5043,Arkansas,Drew County,18509,18219
5,45,5045,Arkansas,Faulkner County,113237,126007
5,47,5047,Arkansas,Franklin County,18125,17715
5,49,5049,Arkansas,Fulton County,12245,12477
5,51,5051,Arkansas,Garland County,96024,99386
5,53,5053,Arkansas,Grant County,17853,18265
5,55,5055,Arkansas,Greene County,42090,45325
5,57,5057,Arkansas,Hempstead County,22609,21532
5,59,5059,Arkansas,Hot Spring County,32923,33771
5,61,5061,Arkansas,Howard County,13789,13202
5,63,5063,Arkansas,Independence County,36647,37825
5,65,5065,Arkansas,Izard County,13696,13629
5,67,5067,Arkansas,Jackson County,17997,16719
5,69,5069,Arkansas,Jefferson County,77435,66824
5,71,5071,Arkansas,Johnson County,25540,26578
5,73,5073,Arkansas,Lafayette County,7645,6624
5,75,5075,Arkansas,Lawrence County,17415,16406
5,77,5077,Arkansas,Lee County,10424,8857
5,79,5079,Arkansas,Lincoln County,14134,13024
5,81,5081,Arkansas,Little River County,13171,12259
5,83,5083,Arkansas,Logan County,22353,21466
5,85,5085,Arkansas,Lonoke County,68356,73309
5,87,5087,Arkansas,Madison County,15717,16576
5,89,5089,Arkansas,Marion County,16653,16694
5,91,5091,Arkansas,Miller County,43462,43257
5,93,5093,Arkansas,Mississippi County,46480,40651
5,95,5095,Arkansas,Monroe County,8149,6701
5,97,5097,Arkansas,Montgomery County,9487,8986
5,99,5099,Arkansas,Nevada County,8997,8252
5,101,5101,Arkansas,Newton County,8330,7753
5,103,5103,Arkansas,Ouachita County,26120,23382
5,105,5105,Arkansas,Perry County,10445,10455
5,107,5107,Arkansas,Phillips County,21757,17782
5,109,5109,Arkansas,Pike County,11291,10718
5,111,5111,Arkansas,Poinsett County,24583,23528
5,113,5113,Arkansas,Polk County,20662,19964
5,115,5115,Arkansas,Pope County,61754,64072
5,117,5117,Arkansas,Prairie County,8715,8062
5,119,5119,Arkansas,Pulaski County,382748,391911
5,121,5121,Arkansas,Randolph County,17969,17958
5,123,5123,Arkansas,St. Francis County,28258,24994
5,125,5125,Arkansas,Saline County,107118,122437
5,127,5127,Arkansas,Scott County,11233,10281
5,129,5129,Arkansas,Searcy County,8195,7881
5,131,5131,Arkansas,Sebastian County,125744,127827
5,133,5133,Arkansas,Sevier County,17058,17007
5,135,5135,Arkansas,Sharp County,17264,17442
5,137,5137,Arkansas,Stone County,12394,12506
5,139,5139,Arkansas,Union County,41639,38682
5,141,5141,Arkansas,Van Buren County,17295,16545
5,143,5143,Arkansas,Washington County,203065,239187
5,145,5145,Arkansas,White County,77076,78753
5,147,5147,Arkansas,Woodruff County,7260,6320
5,149,5149,Arkansas,Yell County,22185,21341
6,1,6001,California,Alameda County,1510271,1671329
6,3,6003,California,Alpine County,1175,1129
6,5,6005,California,Amador County,38091,39752
6,7,6007,California,Butte County,220000,219186
6,9,6009,California,Calaveras County,45578,45905
6,11,6011,California,Colusa County,21419,21547
6,13,6013,California,Contra Costa County,1049025,1153526
6,15,6015,California,Del Norte County,28610,27812
6,17,6017,California,El Dorado County,181058,192843
6,19,6019,California,Fresno County,930450,999101
6,21,6021,California,Glenn County,28122,28393
6,23,6023,California,Humboldt County,134623,135558
6,25,6025,California,Imperial County,174528,181215
6,27,6027,California,Inyo County,18546,18039
6,29,6029,California,Kern County,839631,900202
6,31,6031,California,Kings County,152982,152940
6,33,6033,California,Lake County,64665,64386
6,35,6035,California,Lassen County,34895,30573
6,37,6037,California,Los Angeles County,9818605,10039107
6,39,6039,California,Madera County,150865,157327
6,41,6041,California,Marin County,252409,258826
6,43,6043,California,Mariposa County,18251,17203
6,45,6045,California,Mendocino County,87841,86749
6,47,6047,California,Merced County,255793,277680
6,49,6049,California,Modoc County,9686,8841
6,51,6051,California,Mono County,14202,14444
6,53,6053,California,Monterey County,415057,434061
6,55,6055,California,Napa County,136484,137744
6,57,6057,California,Nevada County,98764,99755
6,59,6059,California,Orange County,3010232,3175692
6,61,6061,California,Placer County,348432,398329
6,63,6063,California,Plumas County,20007,18807
6,65,6065,California,Riverside County,2189641,2470546
6,67,6067,California,Sacramento County,1418788,1552058
6,69,6069,California,San Benito County,55269,62808
6,71,6071,California,San Bernardino County,2035210,2180085
6,73,6073,California,San Diego County,3095313,3338330
6,75,6075,California,San Francisco County,805235,881549
6,77,6077,California,San Joaquin County,685306,762148
6,79,6079,California,San Luis Obispo County,269637,283111
6,81,6081,California,San Mateo County,718451,766573
6,83,6083,California,Santa Barbara County,423895,446499
6,85,6085,California,Santa Clara County,1781642,1927852
6,87,6087,California,Santa Cruz County,262382,273213
6,89,6089,California,Shasta County,177223,180080
6,91,6091,California,Sierra County,3240,3005
6,93,6093,California,Siskiyou County,44900,43539
6,95,6095,California,Solano County,413344,447643
6,97,6097,California,Sonoma County,483878,494336
6,99,6099,California,Stanislaus County,514453,550660
6,101,6101,California,Sutter County,94737,96971
6,103,6103,California,Tehama County,63463,65084
6,105,6105,California,Trinity County,13786,12285
6,107,6107,California,Tulare County,442179,466195
6,109,6109,California,Tuolumne County,55365,54478
6,111,6111,California,Ventura County,823318,846006
6,113,6113,California,Yolo County,200849,220500
6,115,6115,California,Yuba County,72155,78668
8,1,8001,Colorado,Adams County,441603,517421
8,3,8003,Colorado,Alamosa County,15445,16233
8,5,8005,Colorado,Arapahoe County,572003,656590
8,7,8007,Colorado,Archuleta County,12084,14029
8,9,8009,Colorado,Baca County,3788,3581
8,11,8011,Colorado,Bent County,6499,5577
8,13,8013,Colorado,Boulder County,294567,326196
8,14,8014,Colorado,Broomfield County,55889,70465
8,15,8015,Colorado,Chaffee County,17809,20356
8,17,8017,Colorado,Cheyenne County,1836,1831
8,19,8019,Colorado,Clear Creek County,9088,9700
8,21,8021,Colorado,Conejos County,8256,8205
8,23,8023,Colorado,Costilla County,3524,3887
8,25,8025,Colorado,Crowley County,5823,6061
8,27,8027,Colorado,Custer County,4255,5068
8,29,8029,Colorado,Delta County,30952,31162
8,31,8031,Colorado,Denver County,600158,727211
8,33,8033,Colorado,Dolores County,2064,2055
8,35,8035,Colorado,Douglas County,285465,351154
8,37,8037,Colorado,Eagle County,52197,55127
8,39,8039,Colorado,Elbert County,23086,26729
8,41,8041,Colorado,El Paso County,622263,720403
8,43,8043,Colorado,Fremont County,46824,47839
8,45,8045,Colorado,Garfield County,56389,60061
8,47,8047,Colorado,Gilpin County,5441,6243
8,49,8049,Colorado,Grand County,14843,15734
8,51,8051,Colorado,Gunnison County,15324,17462
8,53,8053,Colorado,Hinsdale County,843,820
8,55,8055,Colorado,Huerfano County,6711,6897
8,57,8057,Colorado,Jackson County,1394,1392
8,59,8059,Colorado,Jefferson County,534543,582881
8,61,8061,Colorado,Kiowa County,1398,1406
8,63,8063,Colorado,Kit Carson County,8270,7097
8,65,8065,Colorado,Lake County,7310,8127
8,67,8067,Colorado,La Plata County,51334,56221
8,69,8069,Colorado,Larimer County,299630,356899
8,71,8071,Colorado,Las Animas County,15507,14506
8,73,8073,Colorado,Lincoln County,5467,5701
8,75,8075,Colorado,Logan County,22709,22409
8,77,8077,Colorado,Mesa County,146723,154210
8,79,8079,Colorado,Mineral County,712,769
8,81,8081,Colorado,Moffat County,13795,13283
8,83,8083,Colorado,Montezuma County,25535,26183
8,85,8085,Colorado,Montrose County,41276,42758
8,87,8087,Colorado,Morgan County,28159,29068
8,89,8089,Colorado,Otero County,18831,18278
8,91,8091,Colorado,Ouray County,4436,4952
8,93,8093,Colorado,Park County,16206,18845
8,95,8095,Colorado,Phillips County,4442,4265
8,97,8097,Colorado,Pitkin County,17148,17767
8,99,8099,Colorado,Prowers County,12551,12172
8,101,8101,Colorado,Pueblo County,159063,168424
8,103,8103,Colorado,Rio Blanco County,6666,6324
8,105,8105,Colorado,Rio Grande County,11982,11267
8,107,8107,Colorado,Routt County,23509,25638
8,109,8109,Colorado,Saguache County,6108,6824
8,111,8111,Colorado,San Juan County,699,728
8,113,8113,Colorado,San Miguel County,7359,8179
8,115,8115,Colorado,Sedgwick County,2379,2248
8,117,8117,Colorado,Summit County,27994,31011
8,119,8119,Colorado,Teller County,23350,25388
8,121,8121,Colorado,Washington County,4814,4908
8,123,8123,Colorado,Weld County,252825,324492
8,125,8125,Colorado,Yuma County,10043,10019
9,1,9001,Connecticut,Fairfield County,916829,943332
9,3,9003,Connecticut,Hartford County,894014,891720
9,5,9005,Connecticut,Litchfield County,189927,180333
9,7,9007,Connecticut,Middlesex County,165676,162436
9,9,9009,Connecticut,New Haven County,862477,854757
9,11,9011,Connecticut,New London County,274055,265206
9,13,9013,Connecticut,Tolland County,152691,150721
9,15,9015,Connecticut,Windham County,118428,116782
10,1,10001,Delaware,Kent County,162310,180786
10,3,10003,Delaware,New Castle County,538479,558753
10,5,10005,Delaware,Sussex County,197145,234225
11,1,11001,District of Columbia,District of Columbia,601723,705749
12,1,12001,Florida,Alachua County,247336,269043
12,3,12003,Florida,Baker County,27115,29210
12,5,12005,Florida,Bay County,168852,174705
12,7,12007,Florida,Bradford County,28520,28201
12,9,12009,Florida,Brevard County,543376,601942
12,11,12011,Florida,Broward County,1748066,1952778
12,13,12013,Florida,Calhoun County,14625,14105
12,15,12015,Florida,Charlotte County,159978,188910
12,17,12017,Florida,Citrus County,141236,149657
12,19,12019,Florida,Clay County,190865,219252
12,21,12021,Florida,Collier County,321520,384902
12,23,12023,Florida,Columbia County,67531,71686
12,27,12027,Florida,DeSoto County,34862,38001
12,29,12029,Florida,Dixie County,16422,16826
12,31,12031,Florida,Duval County,864263,957755
12,33,12033,Florida,Escambia County,297619,318316
12,35,12035,Florida,Flagler County,95696,115081
12,37,12037,Florida,Franklin County,11549,12125
12,39,12039,Florida,Gadsden County,46389,45660
12,41,12041,Florida,Gilchrist County,16939,18582
12,43,12043,Florida,Glades County,12884,13811
12,45,12045,Florida,Gulf County,15863,13639
12,47,12047,Florida,Hamilton County,14799,14428
12,49,12049,Florida,Hardee County,27731,26937
12,51,12051,Florida,Hendry County,39140,42022
12,53,12053,Florida,Hernando County,172778,193920
12,55,12055,Florida,Highlands County,98786,106221
12,57,12057,Florida,Hillsborough County,1229226,1471968
12,59,12059,Florida,Holmes County,19927,19617
12,61,12061,Florida,Indian River County,138028,159923
12,63,12063,Florida,Jackson County,49746,46414
12,65,12065,Florida,Jefferson County,14761,14246
12,67,12067,Florida,Lafayette County,8870,8422
12,69,12069,Florida,Lake County,297052,367118
12,71,12071,Florida,Lee County,618754,770577
12,73,12073,Florida,Leon County,275487,293582
12,75,12075,Florida,Levy County,40801,41503
12,77,12077,Florida,Liberty County,8365,8354
12,79,12079,Florida,Madison County,19224,18493
12,81,12081,Florida,Manatee County,322833,403253
12,83,12083,Florida,Marion County,331298,365579
12,85,12085,Florida,Martin County,146318,161000
12,86,12086,Florida,Miami-Dade County,2496435,2716940
12,87,12087,Florida,Monroe County,73090,74228
12,89,12089,Florida,Nassau County,73314,88625
12,91,12091,Florida,Okaloosa County,180822,210738
12,93,12093,Florida,Okeechobee County,39996,42168
12,95,12095,Florida,Orange County,1145956,1393452
12,97,12097,Florida,Osceola County,268685,375751
12,99,12099,Florida,Palm Beach County,1320134,1496770
12,101,12101,Florida,Pasco County,464697,553947
12,103,12103,Florida,Pinellas County,916542,974996
12,105,12105,Florida,Polk County,602095,724777
12,107,12107,Florida,Putnam County,74364,74521
12,109,12109,Florida,St. Johns County,190039,264672
12,111,12111,Florida,St. Lucie County,277789,328297
12,113,12113,Florida,Santa Rosa County,151372,184313
12,115,12115,Florida,Sarasota County,379448,433742
12,117,12117,Florida,Seminole County,422718,471826
12,119,12119,Florida,Sumter County,93420,132420
12,121,12121,Florida,Suwannee County,41551,44417
12,123,12123,Florida,Taylor County,22570,21569
12,125,12125,Florida,Union County,15535,15237
12,127,12127,Florida,Volusia County,494593,553284
12,129,12129,Florida,Wakulla County,30776,33739
12,131,12131,Florida,Walton County,55043,74071
12,133,12133,Florida,Washington County,24896,25473
